epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2596,1.81994,2.35319,1.52332,0.69804,0.65203,0.67804,0.3868,1.31853,1.77293,1.16273,0.000465256,0.000465256,0.000465256
2,26.4804,1.35628,1.04683,1.13765,0.75031,0.66553,0.68986,0.40422,1.32422,1.36459,1.21819,0.000922946,0.000922946,0.000922946
3,37.4829,1.33222,0.93302,1.12915,0.65558,0.44453,0.504,0.31071,1.37872,1.49405,1.28932,0.00136177,0.00136177,0.00136177
4,48.0001,1.29422,0.85966,1.10746,0.76151,0.6587,0.71689,0.42791,1.30076,1.03765,1.22721,0.00134412,0.00134412,0.00134412
5,58.7956,1.23982,0.83963,1.09685,0.7992,0.67873,0.73664,0.45252,1.27646,0.96393,1.2468,0.00131582,0.00131582,0.00131582
6,69.9133,1.24451,0.7905,1.10508,0.81235,0.67815,0.76492,0.46991,1.26638,0.92057,1.20842,0.00128753,0.00128753,0.00128753
7,80.8765,1.20141,0.74441,1.07874,0.82198,0.72385,0.77716,0.48704,1.22236,0.82754,1.17044,0.00125923,0.00125923,0.00125923
8,91.9003,1.196,0.73551,1.07218,0.85652,0.73017,0.81127,0.52145,1.18448,0.78289,1.16685,0.00123094,0.00123094,0.00123094
9,103.067,1.19245,0.69968,1.06392,0.80009,0.76744,0.81037,0.52404,1.21609,0.87124,1.19697,0.00120265,0.00120265,0.00120265
10,114.091,1.17799,0.70683,1.05639,0.84715,0.76748,0.83075,0.53815,1.1796,0.73945,1.1477,0.00117435,0.00117435,0.00117435
11,124.858,1.16455,0.70414,1.05958,0.87298,0.75971,0.83411,0.54594,1.13234,0.66562,1.13616,0.00114606,0.00114606,0.00114606
12,135.569,1.13908,0.67438,1.04331,0.88474,0.78716,0.84246,0.55582,1.14096,0.71453,1.10591,0.00111776,0.00111776,0.00111776
13,146.371,1.1192,0.65168,1.02345,0.86879,0.77769,0.8415,0.54635,1.13301,0.6946,1.12083,0.00108947,0.00108947,0.00108947
14,157.183,1.12456,0.63401,1.02501,0.86747,0.73627,0.80553,0.52581,1.14558,0.72083,1.11768,0.00106118,0.00106118,0.00106118
15,167.962,1.118,0.62497,1.01482,0.8337,0.78161,0.83079,0.54933,1.14823,0.69663,1.12238,0.00103288,0.00103288,0.00103288
16,178.845,1.09552,0.61384,1.02521,0.89269,0.79088,0.85056,0.57019,1.07875,0.64096,1.08383,0.00100459,0.00100459,0.00100459
17,189.78,1.11929,0.62853,1.0192,0.87339,0.76465,0.83134,0.53267,1.17173,0.71433,1.12227,0.000976293,0.000976293,0.000976293
18,200.033,1.09778,0.60361,1.0225,0.8694,0.80891,0.85884,0.57499,1.12105,0.63568,1.10538,0.000947999,0.000947999,0.000947999
19,209.885,1.08337,0.57833,1.01273,0.87726,0.79359,0.84764,0.562,1.09809,0.72196,1.08817,0.000919704,0.000919704,0.000919704
20,219.703,1.07247,0.57417,0.99612,0.9041,0.75206,0.83548,0.55407,1.11621,0.69337,1.11135,0.00089141,0.00089141,0.00089141
21,229.711,1.06996,0.57905,0.99476,0.87662,0.77189,0.8533,0.54794,1.14827,0.63737,1.1224,0.000863116,0.000863116,0.000863116
22,239.6,1.07449,0.57184,1.00108,0.8714,0.79851,0.8596,0.57635,1.08404,0.61307,1.08729,0.000834822,0.000834822,0.000834822
23,250.004,1.04097,0.55959,0.99135,0.83947,0.78481,0.82752,0.55874,1.08852,0.62812,1.08369,0.000806528,0.000806528,0.000806528
24,260.065,1.01807,0.54313,0.98363,0.88735,0.79752,0.85369,0.56407,1.1304,0.6538,1.11622,0.000778233,0.000778233,0.000778233
25,270.16,1.02609,0.54854,0.98858,0.89057,0.78068,0.85124,0.56059,1.11431,0.60992,1.10883,0.000749939,0.000749939,0.000749939
26,280.682,1.04833,0.54415,0.99208,0.90455,0.78834,0.86684,0.58372,1.06537,0.61875,1.07076,0.000721645,0.000721645,0.000721645
27,291.84,1.02077,0.53392,0.98566,0.89795,0.78818,0.85976,0.57717,1.08227,0.60625,1.07674,0.000693351,0.000693351,0.000693351
28,303.558,1.0167,0.52699,0.9795,0.88746,0.7991,0.8607,0.57066,1.10289,0.60319,1.09051,0.000665057,0.000665057,0.000665057
29,315.308,1.00354,0.5264,0.97966,0.92251,0.77587,0.8627,0.57966,1.10288,0.60664,1.09909,0.000636762,0.000636762,0.000636762
30,326.262,0.99783,0.51821,0.97389,0.92218,0.779,0.85803,0.58371,1.06305,0.5911,1.06422,0.000608468,0.000608468,0.000608468
31,336.324,0.98478,0.51037,0.96902,0.83128,0.82484,0.85637,0.57584,1.08076,0.58937,1.06497,0.000580174,0.000580174,0.000580174
32,346.109,0.98291,0.50538,0.96454,0.84123,0.78643,0.8581,0.58493,1.0657,0.58168,1.07,0.00055188,0.00055188,0.00055188
